date,airline,flight_number,origin,destination,original_route,new_route,original_distance_km,new_distance_km,additional_distance_km,extra_fuel_cost_usd,delay_hours
2026-03-07,EgyptAir,EG7953,Dubai,Bahrain,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,9023,10856,1833,11550.69,4.4
2026-03-07,Cargolux,CA7439,Islamabad,Riyadh,Direct Tehran overfly,Via Ashgabat–Almaty route,2994,4328,1334,9172.89,4.2
2026-03-07,Jazeera Airways,JA1752,Paris,Beirut,Direct Gulf route,Via Jordan–Egypt alternate,7860,8857,997,3733.31,1.6
2026-03-07,American Airlines,AM9643,Dubai,Delhi,Via Persian Gulf,Via Indian Ocean southern route,6053,8823,2770,18477.13,2.1
2026-03-07,Singapore Airlines,SI2053,New York,Dubai,Via Persian Gulf,Via Indian Ocean southern route,10171,12375,2204,13891.52,2.7
2026-03-07,DHL Aviation,DH2936,Dubai,Frankfurt,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,2755,5351,2596,10164.33,3.2
2026-03-07,Etihad Airways,ET8005,Paris,Dubai,Via Persian Gulf,Via Indian Ocean southern route,6755,8432,1677,10757.51,1.5
2026-03-07,American Airlines,AM9856,Muscat,London,Via Persian Gulf,Via Indian Ocean southern route,5237,6976,1739,6477.11,1.4
2026-03-07,Gulf Air,GU1949,Dubai,Cairo,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,4940,6893,1953,10897.39,1.4
2026-03-07,Qatar Airways,QA5866,Sydney,Abu Dhabi,Via Persian Gulf,Via Indian Ocean southern route,6323,8367,2044,10877.24,2.9
2026-03-07,Ethiopian Airlines,ET3962,Doha,London,Via Strait of Hormuz,Via Red Sea–Suez route,2657,4024,1367,8808.63,1.0
2026-03-07,Kuwait Airways,KU9519,Mumbai,Kuwait City,Direct Gulf route,Via Jordan–Egypt alternate,10135,10865,730,4473.81,0.9
2026-03-07,Singapore Airlines,SI4793,Bahrain,Dubai,Via Persian Gulf,Via Indian Ocean southern route,9244,11175,1931,11423.41,1.2
2026-03-07,EgyptAir,EG5554,Cairo,Riyadh,Via Baghdad FIR,Via Ankara–Baku corridor,5676,6761,1085,4219.21,0.9
2026-03-07,Iran Air,IR9475,London,Bahrain,Via Baghdad FIR,Via Ankara–Baku corridor,9815,10763,948,3907.63,4.6
2026-03-07,Turkish Airlines,TU9410,Doha,London,Direct Tehran overfly,Via Ashgabat–Almaty route,11968,12824,856,3947.82,3.0
2026-03-07,EgyptAir,EG1870,Dubai,Karachi,Via Persian Gulf,Via Indian Ocean southern route,11292,14067,2775,10562.62,1.2
2026-03-07,Emirates SkyCargo,EM2595,Riyadh,London,Direct Tehran overfly,Via Ashgabat–Almaty route,5208,6840,1632,10455.62,4.8
2026-03-07,Etihad Airways,ET1153,Beijing,Tehran,Via Strait of Hormuz,Via Red Sea–Suez route,5849,6839,990,6462.93,2.2
2026-03-07,United Airlines,UN2916,Cairo,Kuwait City,Direct Tehran overfly,Via Ashgabat–Almaty route,11594,12421,827,3871.36,2.1
2026-03-07,Emirates SkyCargo,EM5735,New York,Doha,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,9737,11446,1709,8873.68,2.6
2026-03-07,Air India,AI9295,Dubai,Frankfurt,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,2368,4244,1876,9382.43,4.3
2026-03-07,Emirates,EM905,Beirut,Paris,Via Strait of Hormuz,Via Red Sea–Suez route,11832,12682,850,3949.31,4.0
2026-03-07,Saudi Arabian Airlines,SA3515,Dubai,New York,Direct Middle East overfly,Via Central Asian detour,11850,12830,980,6817.47,3.7
2026-03-08,Pakistan International Airlines,PA2794,Islamabad,Riyadh,Via Baghdad FIR,Via Ankara–Baku corridor,11007,12436,1429,6789.88,3.4
2026-03-08,flydubai,FL6866,Abu Dhabi,London,Direct Gulf route,Via Jordan–Egypt alternate,7079,7805,726,3465.35,4.6
2026-03-08,Qatar Airways,QA6596,Frankfurt,Dubai,Direct Middle East overfly,Via Central Asian detour,10989,13370,2381,9410.12,0.5
2026-03-08,Thai Airways,TH4524,Beirut,Paris,Direct Tehran overfly,Via Ashgabat–Almaty route,5238,6388,1150,6095.67,1.8
2026-03-08,Emirates SkyCargo,EM5515,Abu Dhabi,London,Via Persian Gulf,Via Indian Ocean southern route,10117,13087,2970,10875.5,2.1
2026-03-08,Ethiopian Airlines,ET8286,Dubai,London,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,11028,13811,2783,10581.95,4.2
2026-03-08,Emirates,EM2180,Doha,Paris,Via Persian Gulf,Via Indian Ocean southern route,6090,7391,1301,8255.63,3.9
2026-03-08,Oman Air,OM6346,Dubai,Mumbai,Via Strait of Hormuz,Via Red Sea–Suez route,6783,7995,1212,6015.77,1.1
2026-03-08,Cargolux,CA4940,Bahrain,Dubai,Via Baghdad FIR,Via Ankara–Baku corridor,9770,10931,1161,4681.03,2.6
2026-03-08,EgyptAir,EG2891,Cairo,Riyadh,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,8553,10551,1998,13502.43,1.7
2026-03-08,EgyptAir,EG5899,London,Muscat,Direct Middle East overfly,Via Central Asian detour,8288,9823,1535,8886.3,4.9
2026-03-08,IndiGo,IN9613,Kuwait City,Cairo,Via Strait of Hormuz,Via Red Sea–Suez route,9468,10121,653,3225.05,2.2
2026-03-08,Cathay Pacific,CA3092,Muscat,London,Direct Tehran overfly,Via Ashgabat–Almaty route,3568,5284,1716,9953.52,1.7
2026-03-08,Cargolux,CA7620,Doha,Paris,Direct Middle East overfly,Via Central Asian detour,10234,11514,1280,6512.95,2.4
2026-03-08,Thai Airways,TH7770,London,Riyadh,Via Persian Gulf,Via Indian Ocean southern route,2535,6003,3468,17348.62,1.3
2026-03-08,Cathay Pacific,CA7881,Doha,Paris,Direct Tehran overfly,Via Ashgabat–Almaty route,8225,9155,930,4790.76,4.2
2026-03-08,Ethiopian Airlines,ET9564,Dubai,Bahrain,Direct Tehran overfly,Via Ashgabat–Almaty route,5393,6624,1231,6218.23,3.2
2026-03-08,FedEx Express,FE5425,Dubai,Frankfurt,Direct Tehran overfly,Via Ashgabat–Almaty route,4456,5751,1295,5452.39,2.4
2026-03-08,Air India,AI6895,Washington,Abu Dhabi,Direct Gulf route,Via Jordan–Egypt alternate,8055,8877,822,3330.9,2.0
2026-03-08,flydubai,FL1726,Islamabad,Dubai,Via Persian Gulf,Via Indian Ocean southern route,11854,14075,2221,11123.97,3.4
2026-03-08,Lufthansa,LU7106,Dubai,Frankfurt,Via Strait of Hormuz,Via Red Sea–Suez route,6425,7122,697,4178.36,0.8
2026-03-08,Iran Air,IR4624,Dubai,Frankfurt,Direct Tehran overfly,Via Ashgabat–Almaty route,10354,11132,778,5223.16,4.8
2026-03-08,Lufthansa,LU135,Islamabad,Dubai,Direct Tehran overfly,Via Ashgabat–Almaty route,5237,6771,1534,6211.37,3.6
2026-03-08,Air Arabia,AI7395,Tehran,Beijing,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,6897,9021,2124,13476.87,3.3
2026-03-08,Kuwait Airways,KU6704,Doha,London,Via Baghdad FIR,Via Ankara–Baku corridor,10301,11308,1007,5395.76,1.0
2026-03-08,Delta Air Lines,DE2147,Beirut,Paris,Direct Tehran overfly,Via Ashgabat–Almaty route,7006,8327,1321,8288.61,4.6
2026-03-08,Jazeera Airways,JA236,Istanbul,Karachi,Direct Gulf route,Via Jordan–Egypt alternate,10942,11374,432,1881.08,4.8
2026-03-08,Thai Airways,TH2291,Dubai,London,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,6816,7845,1029,4126.5,2.5
2026-03-08,Jazeera Airways,JA1255,London,Riyadh,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,4482,7155,2673,18418.99,2.5
2026-03-08,Delta Air Lines,DE4902,London,Bahrain,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,4027,6352,2325,8814.85,4.9
2026-03-09,Malaysia Airlines,MA2743,Paris,Dubai,Via Persian Gulf,Via Indian Ocean southern route,4252,6441,2189,9659.19,2.8
2026-03-09,Cathay Pacific,CA2450,Istanbul,Karachi,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,8244,9778,1534,10463.88,1.7
2026-03-09,British Airways,BR6499,Tehran,Istanbul,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,5971,7173,1202,5776.1,4.2
2026-03-09,Emirates,EM3569,Cairo,Kuwait City,Direct Gulf route,Via Jordan–Egypt alternate,10108,11011,903,3296.43,1.2
2026-03-09,Kuwait Airways,KU9774,New York,Doha,Direct Tehran overfly,Via Ashgabat–Almaty route,6702,7742,1040,5052.82,0.7
2026-03-09,Cargolux,CA6715,Sydney,Dubai,Direct Gulf route,Via Jordan–Egypt alternate,3455,4115,660,4547.6,3.1
2026-03-09,Thai Airways,TH7507,Dubai,Mumbai,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,5108,6587,1479,7802.27,1.8
2026-03-09,United Airlines,UN4228,Dubai,Amman,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,8249,10451,2202,10081.04,3.3
2026-03-09,Singapore Airlines,SI8283,Lahore,Doha,Via Strait of Hormuz,Via Red Sea–Suez route,5703,7058,1355,7545.54,1.0
2026-03-09,Lufthansa,LU5339,London,Doha,Direct Tehran overfly,Via Ashgabat–Almaty route,10793,12406,1613,7255.04,3.6
2026-03-09,Kuwait Airways,KU4378,London,Riyadh,Direct Tehran overfly,Via Ashgabat–Almaty route,8083,9906,1823,10361.36,2.1
2026-03-09,British Airways,BR7638,Tehran,Istanbul,Via Persian Gulf,Via Indian Ocean southern route,8622,11341,2719,10212.83,3.2
2026-03-09,Cargolux,CA5368,Abu Dhabi,Sydney,Via Persian Gulf,Via Indian Ocean southern route,9901,11455,1554,8137.41,2.5
2026-03-09,Ethiopian Airlines,ET4565,London,Dubai,Via Baghdad FIR,Via Ankara–Baku corridor,2262,3395,1133,4227.17,1.7
2026-03-09,flydubai,FL1532,Mumbai,Doha,Direct Gulf route,Via Jordan–Egypt alternate,5039,5559,520,2233.78,2.7
2026-03-09,flydubai,FL9350,Kuwait City,London,Direct Gulf route,Via Jordan–Egypt alternate,10109,11068,959,5450.54,1.9
2026-03-09,Delta Air Lines,DE1252,Paris,Doha,Direct Gulf route,Via Jordan–Egypt alternate,4845,5681,836,3620.77,2.6
2026-03-09,Qatar Airways,QA5131,London,Dubai,Direct Tehran overfly,Via Ashgabat–Almaty route,10092,11850,1758,7982.08,1.4
2026-03-09,Air France,AI3562,New York,Doha,Via Persian Gulf,Via Indian Ocean southern route,3559,4992,1433,6314.27,1.2
2026-03-09,Ethiopian Airlines,ET5257,Singapore,Dubai,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,2375,3917,1542,8358.52,3.9
2026-03-09,Ethiopian Airlines,ET5318,Riyadh,Islamabad,Direct Tehran overfly,Via Ashgabat–Almaty route,11369,12338,969,5773.08,1.2
2026-03-09,Turkish Airlines,TU7030,Doha,Los Angeles,Direct Tehran overfly,Via Ashgabat–Almaty route,10816,12281,1465,9019.38,1.4
2026-03-09,Oman Air,OM8768,Paris,Doha,Direct Gulf route,Via Jordan–Egypt alternate,6472,7366,894,3648.07,3.6
2026-03-09,British Airways,BR8059,London,Bahrain,Direct Gulf route,Via Jordan–Egypt alternate,4059,4733,674,3991.1,1.8
2026-03-09,Iran Air,IR5005,Riyadh,Cairo,Via Baghdad FIR,Via Ankara–Baku corridor,6178,7673,1495,8319.24,1.5
2026-03-09,Air India,AI356,Dubai,New York,Via Persian Gulf,Via Indian Ocean southern route,11046,14191,3145,12998.6,1.1
2026-03-09,Pakistan International Airlines,PA5855,Dubai,Amman,Direct Middle East overfly,Via Central Asian detour,10179,11960,1781,7741.23,3.9
2026-03-09,DHL Aviation,DH694,New York,Dubai,Direct Middle East overfly,Via Central Asian detour,2703,3796,1093,5893.24,2.9
2026-03-09,Turkish Airlines,TU7833,Dubai,Delhi,Direct Middle East overfly,Via Central Asian detour,4334,6820,2486,11740.08,3.4
2026-03-09,IndiGo,IN2068,London,Bahrain,Via Persian Gulf,Via Indian Ocean southern route,6293,7767,1474,9737.25,4.7
2026-03-09,Iran Air,IR1909,Tehran,Istanbul,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,7019,9188,2169,13720.32,1.6
2026-03-09,United Airlines,UN5015,Riyadh,London,Via Persian Gulf,Via Indian Ocean southern route,2463,4185,1722,9244.54,1.8
2026-03-10,Qatar Airways,QA1589,Cairo,Riyadh,Via Strait of Hormuz,Via Red Sea–Suez route,2685,3909,1224,4417.24,3.3
2026-03-10,Gulf Air,GU419,Abu Dhabi,Sydney,Via Persian Gulf,Via Indian Ocean southern route,7587,11037,3450,19939.16,3.3
2026-03-10,Kuwait Airways,KU2881,New York,Doha,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,2913,4448,1535,9698.94,3.4
2026-03-10,Cathay Pacific,CA3637,London,Singapore,Direct Middle East overfly,Via Central Asian detour,2828,3976,1148,7342.91,2.5
2026-03-10,KLM,KL7863,Dubai,Karachi,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,4964,6263,1299,7933.97,1.6
2026-03-10,Etihad Airways,ET2171,Dubai,Amman,Via Baghdad FIR,Via Ankara–Baku corridor,4107,5035,928,4939.01,0.5
2026-03-10,Etihad Airways,ET2608,Istanbul,Delhi,Direct Middle East overfly,Via Central Asian detour,6222,8360,2138,14491.84,1.9
2026-03-10,FedEx Express,FE3371,Singapore,London,Via Strait of Hormuz,Via Red Sea–Suez route,7466,9259,1793,10958.35,3.6
2026-03-10,Jazeera Airways,JA3812,Karachi,Dubai,Via Persian Gulf,Via Indian Ocean southern route,9108,12187,3079,15413.96,1.8
2026-03-10,Qatar Airways,QA8784,Mumbai,Kuwait City,Via Baghdad FIR,Via Ankara–Baku corridor,9234,10057,823,3923.62,2.4
2026-03-10,Turkish Airlines,TU5008,Dubai,Mumbai,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,4100,6649,2549,13216.68,4.8
2026-03-10,Gulf Air,GU9237,Islamabad,Riyadh,Via Persian Gulf,Via Indian Ocean southern route,5746,8829,3083,19344.42,2.5
2026-03-10,British Airways,BR6001,Dubai,Islamabad,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,3221,4934,1713,6022.99,2.6
2026-03-10,Qatar Airways,QA6877,Doha,New York,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,3335,5561,2226,14606.29,2.7
2026-03-10,IndiGo,IN680,Dubai,Frankfurt,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,3014,4699,1685,6927.08,2.1
2026-03-10,Thai Airways,TH7432,Doha,London,Via Strait of Hormuz,Via Red Sea–Suez route,8916,10251,1335,8727.51,1.5
2026-03-10,Air Arabia,AI1628,Istanbul,Karachi,Direct Middle East overfly,Via Central Asian detour,5831,7889,2058,11906.51,1.3
2026-03-10,Air India,AI6159,Cairo,Riyadh,Direct Tehran overfly,Via Ashgabat–Almaty route,8884,9595,711,3711.06,3.0
2026-03-10,Mahan Air,MA7231,Bahrain,London,Via Strait of Hormuz,Via Red Sea–Suez route,5102,6897,1795,9688.45,4.3
2026-03-10,Delta Air Lines,DE4616,Frankfurt,Dubai,Via Strait of Hormuz,Via Red Sea–Suez route,7370,8371,1001,4942.28,4.1
2026-03-10,Iran Air,IR202,Doha,London,Direct Tehran overfly,Via Ashgabat–Almaty route,2004,2951,947,5496.96,0.6
2026-03-10,Oman Air,OM1715,London,Doha,Via Strait of Hormuz,Via Red Sea–Suez route,3419,4356,937,6057.87,1.2
2026-03-11,American Airlines,AM5718,Paris,Doha,Via Strait of Hormuz,Via Red Sea–Suez route,11552,13005,1453,8918.51,1.3
2026-03-11,Pakistan International Airlines,PA6297,Beijing,Tehran,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,6536,8054,1518,6518.24,3.9
2026-03-11,Delta Air Lines,DE8818,Karachi,Dubai,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,7941,8837,896,4891.83,0.7
2026-03-11,Etihad Airways,ET214,London,Singapore,Via Strait of Hormuz,Via Red Sea–Suez route,2444,4192,1748,6902.13,0.5
2026-03-11,Delta Air Lines,DE2232,London,Muscat,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,7661,8856,1195,6155.15,1.9
2026-03-11,DHL Aviation,DH2927,Dubai,Frankfurt,Via Persian Gulf,Via Indian Ocean southern route,9507,12255,2748,19102.26,2.4
2026-03-11,Etihad Airways,ET5811,Tehran,Beijing,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,4044,5519,1475,6267.3,2.3
2026-03-11,Air India,AI2101,Karachi,Istanbul,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,3084,4241,1157,7570.99,1.0
2026-03-11,American Airlines,AM2416,Frankfurt,Dubai,Via Strait of Hormuz,Via Red Sea–Suez route,2006,3493,1487,5307.26,3.8
2026-03-11,Lufthansa,LU6307,Muscat,London,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,6236,7684,1448,6518.04,4.8
2026-03-11,KLM,KL5644,Sydney,Abu Dhabi,Via Baghdad FIR,Via Ankara–Baku corridor,4956,6179,1223,7178.21,4.9
2026-03-11,Air India,AI446,New York,Dubai,Direct Gulf route,Via Jordan–Egypt alternate,4749,5229,480,2921.87,3.6
2026-03-11,Emirates SkyCargo,EM8338,Kuwait City,Mumbai,Direct Gulf route,Via Jordan–Egypt alternate,6121,6523,402,1904.92,3.3
2026-03-11,Emirates,EM3328,Karachi,Istanbul,Via Persian Gulf,Via Indian Ocean southern route,6354,7757,1403,8759.76,2.5
2026-03-11,KLM,KL8482,Moscow,Tehran,Via Strait of Hormuz,Via Red Sea–Suez route,8054,9396,1342,5761.02,2.3
2026-03-11,United Airlines,UN6020,Paris,Doha,Via Baghdad FIR,Via Ankara–Baku corridor,10330,10865,535,3666.97,4.3
2026-03-11,Kuwait Airways,KU3474,London,Singapore,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,9271,10552,1281,5303.49,1.8
2026-03-11,Iran Air,IR113,Doha,Los Angeles,Via Persian Gulf,Via Indian Ocean southern route,8322,10046,1724,9459.16,4.7
2026-03-11,Malaysia Airlines,MA9325,Dubai,Istanbul,Via Strait of Hormuz,Via Red Sea–Suez route,9043,10193,1150,7138.22,4.1
2026-03-11,Pakistan International Airlines,PA9429,Bahrain,Dubai,Direct Gulf route,Via Jordan–Egypt alternate,4021,4595,574,3559.66,2.4
2026-03-11,Cathay Pacific,CA721,Sydney,Abu Dhabi,Direct Middle East overfly,Via Central Asian detour,11894,13011,1117,5253.28,0.6
2026-03-11,Emirates,EM2813,Kuwait City,Cairo,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,9579,10582,1003,5170.49,1.6

